MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,UAP FP,DEM FP,OTH FP,GLApp,GLDis,Comments,,
2000-07-16,F2F Morgan,,62,33,56,3,1,#N/A,2,5,,,,,
2000-08-15,F2F Morgan,,59,37,53.5,1.5,1,#N/A,2.5,5,,,,,
2000-09-15,F2F Morgan,,63,34,57.5,1.5,0.5,#N/A,2,4.5,,,,,
2000-10-15,F2F Morgan,,65.5,30.5,58,1.5,0.5,#N/A,3.5,6,,,,,
2000-11-15,F2F Morgan,,60,35,54,2.5,0.5,#N/A,3.5,4.5,,,,,
2000-12-15,F2F Morgan,,61,35,53,3,0.5,#N/A,4,4.5,,,,,
2001-01-15,F2F Morgan,,59,37.5,52.5,2.5,0.5,#N/A,2.5,4.5,,,,,
2001-02-15,F2F Morgan,,62,33,54.5,2,1.5,#N/A,4,5,,,,,
2001-03-15,F2F Morgan,,64,30.5,56,2.5,2,#N/A,3,6,,,,,
2001-04-15,F2F Morgan,,63,31.5,53,4,1,#N/A,4.5,6,,,,,
2001-05-15,F2F Morgan,,66.5,30,57.5,2.5,0.5,#N/A,4.5,5.5,,,,,
2001-06-15,F2F Morgan,,62.5,34,53.5,3,1,#N/A,4,4.5,,,,,
2001-07-15,F2F Morgan,,63.5,31,54,2.5,1,#N/A,6,5.5,,,,,
2001-08-15,F2F Morgan,,62.5,31.5,53,2.5,1.5,#N/A,6,5.5,,,,,
2001-09-15,F2F Morgan,,63,31,55.5,3,1,#N/A,4,5.5,,,,,
2001-10-15,F2F Morgan,,58.5,37.5,51,3,0.5,#N/A,4,4,,,,,
2001-11-15,F2F Morgan,,63,32,54.5,5.5,1,#N/A,4,3,,,,,
2001-12-15,F2F Morgan,,56.5,37.5,47,6,1,#N/A,5,3.5,,,,,
2002-01-15,F2F Morgan,,56,40,47,5.5,0.5,#N/A,3.5,3.5,,,,,
2002-02-15,F2F Morgan,,56,39.5,47.5,4,0,#N/A,4,5,,,,,
2002-03-15,F2F Morgan,,57,38.5,48,5,0,#N/A,2.5,6,,,,,
2002-04-15,F2F Morgan,,58,37,49,6,0,#N/A,4,4,,,,,
2002-05-15,F2F Morgan,,61.5,31.5,50,6.5,0.5,#N/A,5,4.5,,,,,
2002-06-15,F2F Morgan,,57.5,36.5,45.5,6.5,0.5,#N/A,5.5,5.5,,,,,
2002-07-15,F2F Morgan,,57.5,37,46.5,6.5,0.5,#N/A,3.5,0.5,,,,,
2002-08-15,F2F Morgan,,59,35,49.5,6.5,1,#N/A,3.5,4.5,,,,,
2002-09-15,F2F Morgan,,59.5,36.5,49,8,0.5,#N/A,2.5,3.5,,,,,
2002-10-15,F2F Morgan,,55.5,37.5,47,7,1,#N/A,2.5,5,,,,,
2002-11-15,F2F Morgan,,62,34,54.5,7.5,#N/A,#N/A,0.5,3.5,,,,,
2002-11-19,Saulwick,,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#Date approximate,,
2002-11-19,Newspoll,,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#Date approximate,,
2002-11-22,Morgan Phone,,59,37.5,47,11,#N/A,#N/A,#N/A,4.5,,,,,
2002-11-28,Newspoll,,57.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#Date approximate,,
2002-11-28,Morgan Phone,,59,36,48.5,11.5,#N/A,#N/A,#N/A,4,,,,,
2002-11-30,Morgan Phone,,57,36.5,46,12,#N/A,#N/A,#N/A,5.5,,,,,
2002-12-15,F2F Morgan,,62,33.5,49,12,#N/A,#N/A,#N/A,5.5,,,,,
2003-01-15,F2F Morgan,,63.5,32,53,8.5,#N/A,#N/A,#N/A,6.5,,,,,
2003-02-15,F2F Morgan,,64,31,51.5,9,#N/A,#N/A,#N/A,7.5,,,,,
2003-03-15,F2F Morgan,,59.5,35,51,7.5,#N/A,#N/A,#N/A,7.5,,,,,
2003-04-15,F2F Morgan,,62,33,52,7,#N/A,#N/A,#N/A,8,,,,,
2003-05-15,F2F Morgan,,58.5,37,49.5,7,#N/A,#N/A,#N/A,6.5,,,,,
2003-06-15,F2F Morgan,,57.5,38,48,8,#N/A,#N/A,#N/A,6,,,,,
2003-07-15,F2F Morgan,,57,38.5,48.5,6,#N/A,#N/A,#N/A,7,,,,,
2003-08-15,F2F Morgan,,57,37,48,7.5,#N/A,#N/A,#N/A,7.5,,,,,
2003-09-15,F2F Morgan,,59,35,49,7.5,#N/A,#N/A,#N/A,8.5,,,,,
2003-10-15,F2F Morgan,,59.5,35.5,48.5,7,#N/A,#N/A,#N/A,9,,,,,
2003-11-15,F2F Morgan,,57.5,36,46,8.5,#N/A,#N/A,#N/A,9.5,,,,,
2003-12-15,F2F Morgan,,56.5,40,47.5,6.5,#N/A,#N/A,#N/A,6,,,,,
2004-01-15,F2F Morgan,,59,36.5,48,9,#N/A,#N/A,#N/A,6.5,,,,,
2004-02-15,F2F Morgan,,62.5,33.5,53,6.5,#N/A,#N/A,#N/A,7,,,,,
2004-03-15,F2F Morgan,,58,38,48.5,7.5,#N/A,#N/A,#N/A,6,,,,,
2004-04-15,F2F Morgan,,61.5,34.5,52,7,#N/A,#N/A,#N/A,6.5,,,,,
2004-05-15,F2F Morgan,,58.5,37.5,49,7.5,#N/A,#N/A,#N/A,6,,,,,
2004-06-15,F2F Morgan,,58.5,37,47,7.5,#N/A,#N/A,#N/A,8.5,,,,,
2004-07-15,F2F Morgan,,60,36,50.5,6.5,#N/A,#N/A,#N/A,7,,,,,
2004-08-15,F2F Morgan,,51.5,37,47,9,#N/A,#N/A,#N/A,7,,,,,
2004-09-15,F2F Morgan,,60,35,48,10.5,#N/A,#N/A,#N/A,6.5,,,,,
2004-10-15,F2F Morgan,,51.5,44.5,42.5,7.5,#N/A,#N/A,#N/A,5.5,,,,,
2004-11-15,F2F Morgan,,52.5,43,41.5,9.5,#N/A,#N/A,#N/A,6,,,,,
2004-12-15,F2F Morgan,,56.5,38.5,45,9,#N/A,#N/A,#N/A,7.5,,,,,
2005-01-15,F2F Morgan,,53,43,43.5,7,#N/A,#N/A,#N/A,6.5,,,,,
2005-02-15,F2F Morgan,,58,38,48.5,7.5,#N/A,#N/A,#N/A,6,,,,,
2005-03-15,F2F Morgan,,56.5,39,45.5,8,#N/A,#N/A,#N/A,7.5,,,,,
2005-04-15,F2F Morgan,,56.5,38.5,43.5,8.5,#N/A,#N/A,#N/A,9.5,,,,,
2005-05-15,F2F Morgan,,57,38.5,46.5,7,#N/A,#N/A,#N/A,8,,,,,
2005-06-01,Newspoll,,56,38,44,9,#N/A,#N/A,#N/A,9,,,,,
2005-06-15,F2F Morgan,,56.5,38.5,43.5,9.5,#N/A,#N/A,#N/A,8.5,,,,,
2005-07-15,F2F Morgan,,56,39.5,45.5,6.5,#N/A,#N/A,#N/A,8.5,,,,,
2005-08-01,Newspoll,,54,41,42,6,#N/A,#N/A,#N/A,11,,,,,
2005-08-15,F2F Morgan,,57.5,38.5,47,7,#N/A,#N/A,#N/A,7.5,,,,,
2005-09-15,F2F Morgan,,57.5,37.5,44.5,8,#N/A,#N/A,#N/A,10,,,,,
2005-10-01,Newspoll,,55,41,43,6,#N/A,#N/A,#N/A,11,,,,,
2005-10-15,F2F Morgan,,60.5,35,50,7,#N/A,#N/A,#N/A,8,,,,,
2005-11-15,F2F Morgan,,60,35,47.5,8.5,#N/A,#N/A,#N/A,9,,,,,
2005-11-23,Nielsen,,56,39,43,11,#N/A,#N/A,#N/A,7,,,,,
2005-12-01,Newspoll,,54,40,41,7,#N/A,#N/A,#N/A,12,,,,,
2005-12-15,F2F Morgan,,57.5,36.5,43.5,12,#N/A,#N/A,#N/A,8,,,,,
2006-01-15,F2F Morgan,,59,36,48,7.5,#N/A,#N/A,#N/A,8.5,,,,,
2006-02-01,Newspoll,,56,40,44,5,#N/A,#N/A,#N/A,11,,,,,
2006-02-15,F2F Morgan,,60.5,34.5,48,7.5,#N/A,#N/A,#N/A,10,,,,,
2006-03-15,F2F Morgan,,59.5,37,46,8,#N/A,#N/A,#N/A,9,,,,,
2006-04-01,Newspoll,,56,38,44,7,#N/A,#N/A,#N/A,11,,,,,
2006-04-15,F2F Morgan,,61.5,33.5,48.5,8,#N/A,#N/A,#N/A,10,,,,,
2006-05-03,F2F Morgan,,58.5,37,48,9.5,#N/A,#N/A,#N/A,5.5,,,,,
2006-05-17,F2F Morgan,,53.5,41.5,42,7.5,#N/A,#N/A,#N/A,9,,,,,
2006-05-23,Nielsen,,55,39,43,11,#N/A,#N/A,#N/A,7,,,,,
2006-06-01,Newspoll,,57,36,45,5,#N/A,#N/A,#N/A,14,,,,,
2006-06-15,F2F Morgan,,57.5,38,46.5,7,#N/A,#N/A,#N/A,8.5,,,,,
2006-07-15,F2F Morgan,,57.5,38.5,47,6.5,#N/A,#N/A,#N/A,8,,,,,
2006-08-01,Newspoll,,55,40,46,6,#N/A,#N/A,#N/A,8,,,,,
2006-08-15,F2F Morgan,,55,41,46,5.5,#N/A,#N/A,#N/A,7.5,,,,,
2006-08-19,Nielsen,,55,41,43,11,#N/A,#N/A,#N/A,5,,,,,
2006-08-24,Morgan Phone,,50,45,42.5,7,#N/A,#N/A,#N/A,5.5,,,,,
2006-09-21,Morgan Phone,,52,44,41,8,#N/A,#N/A,#N/A,7,,,,,
2006-10-01,Newspoll,,54,39,43,7,#N/A,#N/A,#N/A,11,,,,,
2006-10-21,Galaxy,,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
2006-10-22,Nielsen,,56,40,42,13,#N/A,#N/A,#N/A,5,,,,,
2006-10-25,Morgan Phone,,55,38,41,12,#N/A,#N/A,#N/A,9,,,,,
2006-11-09,Newspoll,,55,40,44,8,#N/A,#N/A,#N/A,8,,,,,
2006-11-16,McNair,,50.5,46,39,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
2006-11-18,Nielsen,,54,40,41,12,#N/A,#N/A,#N/A,7,,,,,
2006-11-19,Morgan Phone,,55,38,44,13.5,#N/A,#N/A,#N/A,4.5,,,,,
2006-11-22,Morgan Phone,,53,40.5,42.5,12.5,#N/A,#N/A,#N/A,4.5,,,,,
2006-11-22,Galaxy,,55,39,42,12,#N/A,#N/A,#N/A,7,,,,,
2006-11-23,Newspoll,,56,37,45,9,#N/A,#N/A,#N/A,9,,,,,
2006-11-23,Nielsen,,53,41,40,11,#N/A,#N/A,#N/A,8,56,,Major party FP vote estimated (greens vote given in The Age news report),,
2007-10-01,Newspoll,,56,40,49,6,#N/A,#N/A,#N/A,5,,,,,
2007-12-01,Newspoll,,60,34,51,9,#N/A,#N/A,#N/A,6,,,,,
2008-02-01,Newspoll,,56,37,43,12,#N/A,#N/A,#N/A,8,,,,,
2008-02-25,Nielsen,,59,37,48,10,#N/A,#N/A,#N/A,5,45,32,,,
2008-04-01,Newspoll,,58,36,44,12,#N/A,#N/A,#N/A,8,46,35,,,
2008-06-01,Newspoll,,55,38,41,14,#N/A,#N/A,#N/A,7,48,,,,
2008-08-01,Newspoll,,54,38,41,12,#N/A,#N/A,#N/A,9,41,,,,
2008-10-01,Newspoll,,51,41,37,15,#N/A,#N/A,#N/A,7,48,42,,,
2008-11-19,Nielsen,,55,39,44,11,#N/A,#N/A,#N/A,6,45,36,,,
2008-12-01,Newspoll,,57,37,45,13,#N/A,#N/A,#N/A,5,45,42,,,
2009-02-01,Newspoll,,60,33,46,15,#N/A,#N/A,#N/A,6,52,31,,,
2009-06-01,Newspoll,,56,37,42,14,#N/A,#N/A,#N/A,7,48,37,,,
2009-08-01,Newspoll,,56,35,43,12,#N/A,#N/A,#N/A,10,46,38,,,
2009-10-01,Newspoll,,57,35,43,15,#N/A,#N/A,#N/A,7,49,39,,,
2009-11-20,Saulwick,,58,36,50,10,#N/A,#N/A,#N/A,4,,,,,
2009-12-01,Newspoll,,57,35,41,14,#N/A,#N/A,#N/A,10,51,38,,,
2010-01-31,Nielsen,,53,39,40,14,#N/A,#N/A,#N/A,7,52,39,,,
2010-02-01,Newspoll,,54,39,39,14,#N/A,#N/A,#N/A,8,45,41,,,
2010-02-23,Morgan Phone,,49.5,44.5,37.5,11.5,#N/A,#N/A,#N/A,6.5,,,,,
2010-04-01,Newspoll,,52,41,37,14,#N/A,#N/A,#N/A,8,43,45,,,
2010-06-01,Newspoll,,51,36,34,18,#N/A,#N/A,#N/A,12,,,,,
2010-06-10,Morgan Phone,,49.5,41,35,13.5,#N/A,#N/A,#N/A,10.5,,,,,
2010-08-01,Newspoll,,55,36,38,17,#N/A,#N/A,#N/A,9,48,41,,,
2010-10-01,Essential,,50,44,38,12,#N/A,#N/A,#N/A,10,,,,,
2010-10-06,Galaxy,,51,43,38,14,#N/A,#N/A,#N/A,5,48,46,,,
2010-10-18,Morgan Phone,,52,42.5,40,13,#N/A,#N/A,#N/A,4.5,,,,,
2010-10-26,Newspoll,,52,40,35,19,#N/A,#N/A,#N/A,6,45,42,,,
2010-10-27,Nielsen,,53,38,38,16,#N/A,#N/A,#N/A,8,51,41,,,
2010-11-11,Nielsen,,52,40,38,16,#N/A,#N/A,#N/A,6,53,40,,,
2010-11-10,Newspoll,,51,44,37,14,#N/A,#N/A,#N/A,5,42,48,,,
2010-11-17,Morgan Phone,,52.5,41.5,39,15.5,#N/A,#N/A,#N/A,4,38,43,,,
2010-11-18,Galaxy,,51,42,36,16,#N/A,#N/A,#N/A,6,,,,,
2010-11-21,JWS Research,,50.1,39,35,19,#N/A,#N/A,#N/A,7,,,,,
2010-11-24,Galaxy,,50,44,36,14,#N/A,#N/A,#N/A,6,,,,,
2010-11-24,Morgan Phone,,49,44.5,35.5,13,#N/A,#N/A,#N/A,7,34,46.5,,,
2010-11-24,Nielsen,,48,45,34,14,#N/A,#N/A,#N/A,7,46,47,,,
2010-11-24,Newspoll,,48,45,33,15,#N/A,#N/A,#N/A,7,38,52,,,
2010-12-01,Morgan Phone,,43,46,32,14,#N/A,#N/A,#N/A,8,,,,,
2011-04-12,Morgan Phone,,43,48,31,11.5,#N/A,#N/A,#N/A,9.5,50.5,23,,,
2011-08-01,Newspoll,,43,48,28,15,#N/A,#N/A,#N/A,9,52,29,,,
2011-10-01,Newspoll,,45,47,30,15,#N/A,#N/A,#N/A,8,52,29,,,
2011-12-01,Newspoll,,49,43,34,15,#N/A,#N/A,#N/A,8,49,33,,,
2012-02-01,Newspoll,,47,45,33,14,#N/A,#N/A,#N/A,8,41,38,,,
2012-03-24,Morgan Phone,,47,45.5,35.5,12.5,#N/A,#N/A,#N/A,6.5,,,,,
2012-04-01,Newspoll,,49,42,32,17,#N/A,#N/A,#N/A,9,38,45,,,
2012-06-09,Morgan Phone,,48,44.5,33.5,15.5,#N/A,#N/A,#N/A,6.5,,,,,
2012-08-01,Newspoll,,50,41,35,13,#N/A,#N/A,#N/A,11,32,50,,,
2012-08-11,Morgan Phone,,47,47,34,11,#N/A,#N/A,#N/A,8,,,,,
2012-10-01,Newspoll,,55,37,41,13,#N/A,#N/A,#N/A,9,31,53,,,
2012-11-21,JWS Research,,47.9,48,38,9,#N/A,#N/A,#N/A,5,,,,,#Greens vote estimated from TPP
2012-11-24,Essential,,50,43,39,11,#N/A,#N/A,#N/A,7,,,,,
2012-12-01,Newspoll,,55,36,38,16,#N/A,#N/A,#N/A,10,33,48,,,
2013-01-25,ReachTEL,,#N/A,37.9,36.8,12.4,#N/A,#N/A,#N/A,12.9,24.9,51.4,,,
2013-02-01,Newspoll,,53,39,38,15,#N/A,#N/A,#N/A,8,31,53,,,
2013-02-22,ReachTEL,,#N/A,44.2,34.9,12.6,#N/A,#N/A,#N/A,8.3,,,,,
2013-03-06,ReachTEL,,49,44.9,36.9,12.3,#N/A,#N/A,#N/A,5.9,,,,,
2013-03-08,Nielsen,,52,41,37,13,#N/A,#N/A,#N/A,9,,,,,
2013-03-15,Essential,,48,45,36,12,#N/A,#N/A,#N/A,7,,,,,
2013-04-01,Newspoll,,50,43,37,12,#N/A,#N/A,#N/A,8,50,19,,,
2013-04-12,ReachTEL,,#N/A,49.5,35.3,11.5,#N/A,#N/A,#N/A,3.7,40.6,21.8,,,
2013-05-16,Essential,,53,38,40,10,#N/A,#N/A,#N/A,12,,,,,
2013-06-01,ReachTEL,,#N/A,43.6,32.5,13.6,#N/A,#N/A,#N/A,10.4,,,,,
2013-06-01,Newspoll,,49,43,35,12,#N/A,#N/A,#N/A,10,53,26,,,
2013-08-01,Newspoll,,51,41,38,13,#N/A,#N/A,#N/A,8,53,31,,,
2013-10-01,Newspoll,,53,39,38,14,#N/A,#N/A,#N/A,9,42,36,,,
2013-11-16,Essential,,52,41,38,13,#N/A,#N/A,#N/A,8,,,,,
2013-11-22,ReachTEL,,51,43.4,35.8,11,#N/A,#N/A,#N/A,9.9,,,,,
2013-11-23,Nielsen,,52,40,38,13,#N/A,#N/A,#N/A,9,,,,,
2013-12-15,Essential,,52,43,40,9,#N/A,#N/A,#N/A,9,,,,,
2014-01-15,Essential,,52,40,40,11,#N/A,2,#N/A,6,,,,,
2014-02-15,Essential,,55,37,42,12,#N/A,2,#N/A,6,,,,,
2014-02-27,Nielsen,,53,41,37,13,#N/A,#N/A,#N/A,9,51,32,,,
2014-02-27,Galaxy,,51,42,39,12,#N/A,#N/A,#N/A,7,,,,,
2014-02-27,Newspoll,,53,38,39,13,#N/A,#N/A,#N/A,10,43,46,,,
2014-03-15,Essential,,50,42,39,9,#N/A,2,#N/A,8,,,,,
2014-04-15,Essential,,51,42,39,11,#N/A,2,#N/A,6,,,,,
2014-05-15,Essential,,53,38,40,10,#N/A,4,#N/A,8,,,,,
2014-06-01,Newspoll,,54,37,38,16,#N/A,#N/A,#N/A,9,44,40,,,
2014-06-15,Essential,,52,41,40,10,#N/A,3,#N/A,6,,,,,
2014-06-21,Nielsen,,56,37,42,14,#N/A,#N/A,#N/A,7,48,37,,,
2014-07-16,Essential,,53,39,41,10,#N/A,4,#N/A,6,,,,,
2014-07-19,Nielsen,,51,41,35,16,#N/A,#N/A,#N/A,8,54,34,,,
2014-08-01,Newspoll,,55,35,37,16,#N/A,#N/A,#N/A,12,40,43,,,
2014-08-15,Galaxy,,52,40,38,12,#N/A,#N/A,#N/A,10,,,,,
2014-08-16,Essential,,52,40,39,11,#N/A,4,#N/A,6,,,,,
2014-09-15,Essential,,52,39,39,11,#N/A,3,#N/A,8,,,,,
2014-09-28,SMS Morgan,,54,37.5,34,18,#N/A,#N/A,#N/A,10.5,,,,,
2014-10-12,Essential,,54,38,38,16.5,#N/A,#N/A,#N/A,7.5,,,#Victorian National Parks Association poll,,
2014-10-15,Essential,,52,39,38,12,#N/A,2,#N/A,9,,,,,
2014-10-23,Galaxy,,52,40,38,13,#N/A,#N/A,#N/A,9,,,,,
2014-10-24,ReachTEL,,53,38.6,37.5,13.3,#N/A,#N/A,#N/A,10.6,29.5,38.5,,,
2014-10-26,SMS Morgan,,52.5,37.5,34,18.5,#N/A,#N/A,#N/A,10,,,,,
2014-10-27,Ipsos,,53,39,37,17,#N/A,#N/A,#N/A,9,47,38,,,
2014-10-29,Newspoll,,54,39,41,13,#N/A,#N/A,#N/A,7,46,41,,,
2014-11-08,Ipsos,,53,39,39,16,#N/A,#N/A,#N/A,6,46,37,,,
2014-11-11,SMS Morgan,,53.5,38,36,18.5,#N/A,#N/A,#N/A,7.5,,,,,
2014-11-13,Essential,,53,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-14,SMS Morgan,,55,35,35.5,19.5,#N/A,#N/A,#N/A,10,,,,,
2014-11-19,Galaxy,,52,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-23,SMS Morgan,,52,39.5,33.5,17.5,#N/A,#N/A,#N/A,9.5,,,,,
2014-11-25,Galaxy,,52,40,39,13,#N/A,#N/A,#N/A,8,,,,,
2014-11-26,Newspoll,,52,40,39,12,#N/A,#N/A,#N/A,9,41,45,,,
2014-11-26,Ipsos,,50,42,35,15,#N/A,#N/A,#N/A,8,49,40,,,
2014-11-27,SMS Morgan,,50,44.5,36,13.5,#N/A,#N/A,#N/A,6,,,,,
2014-11-27,ReachTEL,,52,39.7,38.3,13.5,#N/A,#N/A,#N/A,8.5,,,,,
2015-01-27,SMS Morgan,,59,35,45,11.5,#N/A,#N/A,#N/A,8.5,,,,,
2015-02-14,SMS Morgan,,54.5,39.5,41.5,11.5,#N/A,#N/A,#N/A,7.5,,,,,
2015-03-26,SMS Morgan,,56,38,43,12,#N/A,#N/A,#N/A,6.5,,,,,
2015-04-12,SMS Morgan,,54,40,41,11.5,#N/A,#N/A,#N/A,7.5,,,,,
2015-05-23,SMS Morgan,,56.5,38.5,43.5,12.5,#N/A,#N/A,#N/A,5.5,,,,,
2015-06-01,Newspoll,,58,35,41,14,#N/A,#N/A,#N/A,10,51,32,,,
2015-06-20,SMS Morgan,,56.5,38.5,42,13,#N/A,#N/A,#N/A,6.5,,,,,
2015-08-01,SMS Morgan,,56.5,38,41,14,#N/A,#N/A,#N/A,7,,,,,
2015-08-30,SMS Morgan,,57,35.5,39,16.5,#N/A,#N/A,#N/A,9,,,,,
2015-10-12,SMS Morgan,,55.5,39,40,14.5,#N/A,#N/A,#N/A,6.5,,,,,
2015-10-15,Essential,,53,41,36,14,#N/A,#N/A,#N/A,9,,,,,
2015-11-15,Essential,,54,39,38,12,#N/A,#N/A,#N/A,10,,,,,
2015-12-01,Newspoll2,,52,43,39,12,#N/A,#N/A,#N/A,6,43,39,,,
2015-12-04,SMS Morgan,,53.5,40.5,38,13.5,#N/A,#N/A,#N/A,8,,,,,
2015-12-15,Essential,,54,40,41,10,#N/A,#N/A,#N/A,9,,,,,
2016-01-15,Essential,,54,40,39,12,#N/A,#N/A,#N/A,8,,,,,
2016-01-31,SMS Morgan,,53.5,41,39,13,#N/A,#N/A,#N/A,7,,,,,
2016-02-15,Essential,,52,43,37,13,#N/A,#N/A,#N/A,8,,,,,
2016-03-15,Essential,,53,41,39,13,#N/A,#N/A,#N/A,8,,,,,
2016-03-27,SMS Morgan,,55,39,40.5,12,#N/A,#N/A,#N/A,8.5,,,,,
2016-04-15,Essential,,53,41,38,13,#N/A,#N/A,#N/A,8,,,,,
2016-05-15,Essential,,53,41,39,11,#N/A,#N/A,#N/A,10,,,,,
2016-06-16,Essential,,52,42,38,12,#N/A,#N/A,#N/A,9,,,,,
2016-05-27,SMS Morgan,,56,38,40.5,13,#N/A,#N/A,#N/A,8.5,,,,,
2016-08-15,Essential,,53,40,38,12,#N/A,#N/A,#N/A,10,,,,,
2016-08-21,SMS Morgan,,55.5,36,37,13.5,#N/A,#N/A,#N/A,13.5,,,,,
2016-09-01,ReachTEL,,51,40.1,34.6,10.7,#N/A,#N/A,#N/A,14.6,,,,,
2016-10-01,SMS Morgan,,56.5,36,39,13,#N/A,#N/A,#N/A,12,,,,,
2016-10-15,Essential,,52,41,39,11,#N/A,#N/A,#N/A,9,,,,,
2016-11-01,Newspoll2,,53,42,40,12,#N/A,#N/A,#N/A,6,,,,,
2016-11-15,Essential,,53,41,38,11,#N/A,#N/A,#N/A,10,,,,,
2016-11-19,Galaxy,,52,42,37,12,#N/A,#N/A,#N/A,9,,,,,
2016-12-15,Essential,,53,41,38,12,#N/A,#N/A,#N/A,9,,,,,
2017-02-15,Essential,,53,40,39,11,#N/A,#N/A,#N/A,10,,,,,
2017-02-19,Galaxy,,51,41,37,10,8,#N/A,#N/A,4,,,,,
2017-03-07,ReachTEL,,46,39.8,30.3,8,#N/A,#N/A,#N/A,15.7,,,,,
2017-05-15,Essential,,53,41,38,12,#N/A,#N/A,#N/A,9,,,,,
2017-06-01,Galaxy,,47,44,33,8,#N/A,#N/A,#N/A,14,,,,,
2017-07-15,Essential,,51,44,38,11,#N/A,#N/A,#N/A,7,,,,,
2017-08-15,Essential,,52,42,40,10,#N/A,#N/A,#N/A,8,,,,,
2017-09-15,Essential,,54,39,41,10,#N/A,#N/A,#N/A,10,,,,,
2017-10-15,Essential,,53,40,38,11,#N/A,#N/A,#N/A,10,,,,,
2017-11-15,Newspoll2,,51,43,38,10,#N/A,#N/A,#N/A,9,40,47,,,
2017-11-15,Essential,,51,43,37,10,#N/A,#N/A,#N/A,11,,,,,
2017-12-15,Essential,,49,46,37,9,#N/A,#N/A,#N/A,8,,,,,
2017-12-06,Galaxy,,50,41,36,10,6,#N/A,#N/A,7,,,,,
