MidDate,Firm,@TPP,LIB FP,ALP FP,GRN FP,ONP FP,NAT FP,UAP FP,OTH FP,
2013-02-20,Galaxy,44,43,35,9,#N/A,7,#N/A,6,
2013-03-06,Newspoll,40.5,48,32,8,#N/A,6,#N/A,6,
2013-11-16,Newspoll,49,36,33,13,#N/A,8,#N/A,10,
2014-05-16,Newspoll,50,34,27,17,#N/A,6,#N/A,16,
2014-08-16,Newspoll,50,35,31,15,#N/A,6,#N/A,13,
2014-09-28,SMS Morgan,47.5,42.5,31.5,14,#N/A,3,4.5,4.5,
2014-10-26,SMS Morgan,47,38.5,32,15,#N/A,6.5,3,5,
2014-11-16,Newspoll,50,34,33,15,#N/A,8,#N/A,10,
2014-11-23,SMS Morgan,48.5,35,30.5,15.5,#N/A,7,2,10,
2015-01-17,SMS Morgan,50.5,35.5,35.5,13,#N/A,6.5,2,7.5,
2015-02-15,Newspoll,52,34,35,14,#N/A,6,#N/A,11,
2015-02-15,SMS Morgan,50,36,35,14.5,#N/A,7,1.5,6,
2015-03-14,SMS Morgan,50.5,35,34,14.5,#N/A,6.5,2,8,
2015-04-12,SMS Morgan,50,36.5,35.5,13.5,#N/A,6,1,7.5,
2015-05-16,Newspoll,52,33,33,14,#N/A,7,#N/A,13,
2015-05-23,SMS Morgan,51,34.5,36,14,#N/A,7.5,#N/A,8,
2015-06-20,SMS Morgan,47.5,38.5,32.5,14,#N/A,7,#N/A,8,
2015-08-01,SMS Morgan,51.5,35,34,17,#N/A,7,#N/A,9,
2015-08-30,SMS Morgan,50,35,34,15,#N/A,7,#N/A,9,
2015-10-12,SMS Morgan,48.5,37.5,32,13,#N/A,4.5,#N/A,13,
2015-11-15,Essential,49,37,35,12,#N/A,6,#N/A,10,
2015-11-16,Newspoll2,53,37,42,10,#N/A,5,#N/A,6,
2015-12-04,SMS Morgan,50.5,35,34,13.5,#N/A,5,#N/A,12.5,
2016-01-31,SMS Morgan,45.5,39.5,32,11.5,#N/A,7.5,#N/A,9.5,
2016-02-16,Essential,48,40,34,12,#N/A,4,#N/A,10,
2016-03-17,ReachTEL,56,37.3,39.4,13,#N/A,5.3,#N/A,5,
2016-03-26,SMS Morgan,52,33.5,37,14.5,#N/A,8,#N/A,7,
2016-04-12,SMS Morgan,50,36.5,35.5,13.5,#N/A,6,1,7.5,
2016-04-16,Newspoll2,54,34,42,11,#N/A,6,#N/A,7,
2016-05-16,Essential,51,36,39,10,#N/A,6,#N/A,9,
2016-05-25,SMS Morgan,49,36.5,34,12.5,#N/A,7,#N/A,10,
2016-08-15,Essential,53,34,39,11,#N/A,4,#N/A,12,
2016-08-16,SMS Morgan,51,34.5,35.5,12.5,5,6.5,#N/A,6,
2016-09-15,ReachTEL,51,38.2,36.5,7.7,#N/A,5.4,#N/A,12.2,
2016-10-16,SMS Morgan,52.5,34,36.5,12.5,6,5,#N/A,6,
2016-10-27,ReachTEL,52,35.9,36.7,7.7,#N/A,6.1,#N/A,13.6,
2016-11-01,Newspoll2,52,34,41,9,#N/A,6,#N/A,10,
2016-11-15,Essential,51,34,36,11,#N/A,6,#N/A,13,
2017-01-12,ReachTEL,52,36.1,35,6.7,10.8,6,#N/A,4.5,
2017-01-31,Newspoll2,54,30,38,9,13,5,#N/A,5,
2017-02-15,Essential,52,32,37,9,11,5,#N/A,6,
2017-02-15,ReachTEL,50,35.4,35,6,11.7,8.4,#N/A,3.4,
2017-03-01,ReachTEL,52,34.6,35.2,10.7,8.5,6.8,#N/A,4.2,
2017-03-02,Galaxy,54,31,40,8,9,5,#N/A,7,
2017-03-08,Newspoll2,54,32,41,7,8,5,#N/A,7,
2017-03-09,ReachTEL,54,33.9,41.8,6.5,6.8,6,#N/A,4.9,
2017-05-15,Essential,55,33,44,9,5,4,#N/A,6,
2017-08-15,Essential,54,32,39,12,8,4,#N/A,6,
2018-08-03,Galaxy,54,32,40,11,#N/A,6,#N/A,11,
2018-11-15,Essential,57,29,41,13,7,4,#N/A,6,
2020-05-15,Painted Dog,66,21,49,13,7,4,#N/A,6,
2021-02-17,ReachTEL,61,27.5,46.8,8.3,6.9,5.1,#N/A,5.4,
2021-02-17,Newspoll2,68,23,59,8,3,2,#N/A,5,
2021-03-08,Newspoll2,66,23,57,9,2,3,#N/A,6,
